Codigo;Descripción
801;Cocos, nueces del Brasil y nueces de marañón (merey, cajuil, anacardo, cajú), frescos o secos, incluso sin cáscara o mondados 
802;Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados 
803;"Plátanos (bananas), incluidos los ""plantains"" (plátanos macho), frescos o secos "
804;Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangostanes, frescos o secos 
805;Agrios (cítricos) frescos o secos 
806;Uvas, frescas o secas, incluidas las pasas 
807;Melones, sandías y papayas, frescos 
808;Manzanas, peras y membrillos, frescos 
809;Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (incluidos los griñones y nectarinas), ciruelas y endrinas, frescos 
810;Las demás frutas u otros frutos, frescos 
811;Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adición de azúcar u otro edulcorante 
812;Frutas y otros frutos, conservados provisionalmente, pero todavía impropios, en este estado, para consumo inmediato 
813;"Frutas y otros frutos, secos, excepto los de las partidas 0801 a 0806; mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo "
814;Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su conservación provisional
